Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Huawei Y7 Prime,Released 2017| June,About 180 EUR,165g  8.4mm thickness,32GB storage  microSD card slot   3,5.5",12 MP  f/2.2  1/2.9"  1.25µm  PDAF,4000,Gray| Silver| Prestige Gold| Black| Aurora Blue
Huawei MediaPad M3 Lite 8,Released 2017| June,About 270 EUR,310g  7.5mm thickness,16/64GB storage  microSD card slot   4,8.0",8 MP  AF,4800,Gold| white| space grey
Huawei MediaPad T3 10,Released 2017| June,About 180 EUR,460g  8mm thickness,32GB storage  no card slot   3,9.6",5 MP  AF,4800,Space Gray| Luxurious Gold
Huawei MediaPad M3 Lite 10,Released 2017| June,About 250 EUR,310g  7.1mm thickness,16/64GB storage  microSD card slot   4,10.1",8 MP  AF,6660,Gold| white| space grey
Huawei nova 2 plus,Released 2017| June,About 350 EUR,169g  6.9mm thickness,64/128GB storage  microSD card slot   4,5.5",12  f/1.8  1.25µm  PDAF,3340,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold
Huawei nova 2,Released 2017| June,About 300 EUR,143g  6.9mm thickness,64GB storage  microSD card slot   4,5.0",12  f/1.8  1.25µm  PDAF,2950,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold
Huawei Y6II Compact,Released 2016| September,About 130 EUR,140g  8.9mm thickness,16GB storage  microSD card slot   2,5.0",13 MP  AF,2200,Black| White| Gold
Huawei MediaPad T3 8.0,Released 2017| May,About 160 EUR,350g  8mm thickness,32GB storage  no card slot   3,8.0",5 MP  AF,4800,Space Gray| Luxurious Gold
Huawei MediaPad T3 7.0,Released 2017| May,About 100 EUR,250g  8.6mm thickness,16GB storage  no card slot   2,7.0",2 MP,3100,Gray
Huawei Y7,Released 2017| July,About 160 EUR,165g  8.4mm thickness,16GB storage  microSD card slot   2,5.5",12 MP  f/2.2  1/2.9"  1.25µm  PDAF,4000,Grey/Prestige| Gold/Silver
Huawei Honor 6A (Pro),Released 2017| July,About 130 EUR,143g  8.2mm thickness,32GB storage  microSD card slot   3,5.0",13 MP  28mm  PDAF,3020,Gold| Silver| Dark Gray| Blue| Pink
Huawei Y6 (2017),Released 2017| July,About 140 EUR,150g  8.4mm thickness,16GB storage  microSD card slot   2,5.0",13 MP  AF,3000,White| Gold| Gray
Huawei Y5 (2017),Released 2017| June,About 120 EUR,150g  8.4mm thickness,16GB storage  microSD card slot   2,5.0",8 MP  AF  f/2.0,3000,Gold| Pink| Blue| White| Gray
Huawei Y3 (2017),Released 2017| September,About 90 EUR,175g  9.5mm thickness,8GB storage  microSD card slot   1,5.0",8 MP  AF  f/2.0,2200,Gold| Pink| Blue| White| Gray
Huawei Honor 8 Pro,Released 2017| April,About 390 EUR,184g  7mm thickness,64GB storage  microSD card slot   6,5.7",12 MP  f/2.2  PDAF & laser AF,4000,Pearl White| Midnight Black| Navy Blue
Huawei Watch 2 Classic,Released 2017| May,About 380 EUR,60.5g  12.6mm thickness,4GB storage  no card slot   768,1.2",No,420,Titanium Grey
Huawei Watch 2,Released 2017| April,About 250 EUR,57g  12.6mm thickness,4GB storage  no card slot   768,1.2",No,420,Dynamic Orange| Carbon Black| Concrete Grey
Huawei P10 Plus,Released 2017| April,About 530 EUR,165g  7mm thickness,128GB storage  microSD card slot   6,5.5",12 MP  f/1.8  28mm  OIS  PDAF & laser AF,3750,Ceramic White| Dazzling Blue| Dazzling Gold| Graphite Black| Mystic Silver| Rose Gold| Greenery
Huawei P10,Released 2017| March,About 400 EUR,145g  7mm thickness,32/64GB storage  microSD card slot   4,5.1",12 MP  f/2.2  28mm  OIS  PDAF & laser AF,3200,Mystic Silver| Rose Gold| Graphite Black| Dazzling Gold| Dazzling Blue| Greenery
Huawei P10 Lite,Released 2017| March,About 230 EUR,146g  7.2mm thickness,64GB storage  microSD card slot   4,5.2",12 MP  f/2.2  1/2.8"  1.25µm  PDAF,3000,Pearl White| Graphite Black| Platinum Gold| Sapphire Blue
Huawei P8 Lite (2017),Released 2017| January,About 170 EUR,147g  7.6mm thickness,16GB storage  microSD card slot   3,5.2",12 MP  AF,3000,Black| White| Gold| Blue (India)
Huawei Honor Magic,Released 2016| December,About 500 EUR,145g  7.8mm thickness,64GB storage  no card slot   4,5.09",12 MP  f/2.2  PDAF,2900,Golden Black| Porcelain White
Huawei Enjoy 6s,Released 2017| January,About 250 EUR,138g  7.6mm thickness,16GB storage  microSD card slot   3,5.0",13 MP  PDAF  f/2.2,3020,Gold| Silver| Pink
Huawei Mate 9 Pro,Released 2017| January,About 530 EUR,169g  7.5mm thickness,128GB storage  no card slot   6,5.5",12 MP  f/2.2  27mm  1/2.9"  1.25µm  OIS  PDAF & laser AF,4000,Haze Gold| Titanium Grey
Huawei Mate 9 Porsche Design,Released 2017| January,About 1000 EUR,169g  7.5mm thickness,256GB storage  no card slot   6,5.5",12 MP  f/2.2  27mm  1/2.9"  1.25µm  OIS  PDAF & laser AF,4000,Graphite Black
Huawei Mate 9,Released 2016| December,About 450 EUR,190g  7.9mm thickness,64GB storage  microSD card slot   4,5.9",12 MP  f/2.2  27mm  1/2.9"  1.25µm  OIS  PDAF & laser AF,4000,Agate Red| Topaz Blue| Space Gray| Moonlight Silver| Champagne Gold| Mocha Brown| Ceramic White| Black| Obsidian Black
Huawei Honor V8,Released 2016| May,About 320 EUR,170g  7.8mm thickness,32GB storage  microSD card slot   4,5.7",12 MP  f/2.2  27mm  1/2.9"  1.25µm  PDAF,3500,Silver| Gold| Rose Gold
