Model,Year,Price,Body,Storage,Display,Camera,Colours
BlackBerry KEY2 LE,Exp. release 2018  September,About 400 EUR,156g  8.4mm thickness,32/64GB storage  microSD card slot,4.5",13 MP  f/2.2  1/3.1"  1.12µm  PDAF,Slate  Champagne  Atomic
BlackBerry Evolve X,Exp. release 2018  September,About 440 EUR,170g  8.8mm thickness,64GB storage  microSD card slot,5.99",12 MP  f/1.8  1/2.8"  1.29µm  PDAF,Black
BlackBerry Evolve,Exp. release 2018  September,About 310 EUR,170g  8.4mm thickness,64GB storage  microSD card slot,5.99",13 MP  1/3.1"  1.12µm  PDAF,Black
BlackBerry KEY2,Released 2018  June,About 650 EUR,168g  8.5mm thickness,64/128GB storage  microSD card slot,4.5",12 MP  f/1.8  1/2.3"  1.28µm  dual pixel PDAF,Black  Silver
BlackBerry Motion,Released 2017  December,About 430 EUR,167g  8.1mm thickness,32GB storage  microSD card slot,5.5",12 MP  PDAF  f/2.0,Black
BlackBerry Aurora,Released 2017  March,About 250 EUR,178g  8.5mm thickness,32GB storage  microSD card slot,5.5",13 MP  AF,Black  Silver  Gold
BlackBerry Keyone,Released 2017  April,About 510 EUR,180g  9.4mm thickness,64GB storage  microSD card slot,4.5",12 MP  f/2.0  1/2.3"  1.55µm  PDAF,Black/Silver  Black  Bronze
BlackBerry DTEK60,Released 2016  October,About 320 EUR,165g  7mm thickness,32GB storage  microSD card slot,5.5",21 MP  PDAF  f/2.0,Black
BlackBerry DTEK50,Released 2016  August,About 210 EUR,135g  7.4mm thickness,16GB storage  microSD card slot,5.2",13 MP  PDAF  f/2.0,Black
BlackBerry Priv,Released 2015  November,About 270 EUR,192g  9.4mm thickness,32GB storage  microSD card slot,5.4",18 MP  f/2.2  27mm  1/2.4"  OIS PDAF,Black
BlackBerry Leap,Released 2015  April,About 80 EUR,170g  9.5mm thickness,16GB storage  microSD card slot,5.0",8 MP  f/2.2  31mm  AF,Black  White
BlackBerry Classic Non Camera,Released 2015  March,About 180 EUR,178g  10.2mm thickness,16GB storage  microSD card slot,3.5",No,Black
BlackBerry Porsche Design P'9983,Released 2014  October,About 590 EUR,140g  10.6mm thickness,64GB storage  microSD card slot,3.1",8 MP  AF,Black
BlackBerry Passport,Released 2014  September,About 170 EUR,196g  9.3mm thickness,32GB storage  microSD card slot,4.5",13 MP  f/2.0  30mm  OIS  AF,Black  White  Red  Black&Gold  Silver
BlackBerry Classic,Released 2014  December,About 120 EUR,177g  10.2mm thickness,16GB storage  microSD card slot,3.5",8 MP  f/2.2  31mm  AF,Black  White  Blue  Bronze  Cobalt blue
BlackBerry Z3,Released 2014  May,About 90 EUR,164g  9.3mm thickness,8GB storage  microSD card slot,5.0",5 MP  f/2.4  30mm  AF,Black
BlackBerry Porsche Design P'9982,Released 2013  December,About 390 EUR,140g  9.5mm thickness,64GB storage  microSD card slot,4.2",8 MP  AF,Silver
BlackBerry Z30,Released 2013  October,About 140 EUR,170g  9.4mm thickness,16GB storage  microSD card slot,5.0",8 MP  f/2.2  31mm  AF,Black
BlackBerry 9720,Released 2013  August,About 130 EUR,120g  12mm thickness,512MB ROM storage  microSD card slot,2.8",5 MP,Black  White  Purple  Blue  Pure Pink
BlackBerry Q5,Released 2013  June,About 70 EUR,120g  10.8mm thickness,8GB storage  microSD card slot,3.1",5 MP  f/2.4  30mm  AF,Black  White  Red  Gray  Pink
BlackBerry Z10,Released 2013  January,About 120 EUR,137.5g  9mm thickness,16GB storage  microSD card slot,4.2",8 MP  f/2.2  31mm  AF,Black  White
BlackBerry Q10,Released 2013  April,About 110 EUR,139g  10.4mm thickness,16GB storage  microSD card slot,3.1",8 MP  f/2.2  31mm  AF,Black  White
BlackBerry 4G LTE Playbook,Released 2012  August,About 470 EUR,425g  10mm thickness,32GB storage  no card slot,7.0",5 MP  AF,Black
BlackBerry Curve 9320,Released 2012  May,About 110 EUR,103g  12.7mm thickness,512MB ROM storage  microSD card slot,2.44",3.15 MP,Black  White
BlackBerry Curve 9220,Released 2012  May,About 80 EUR,102g  12.7mm thickness,512MB ROM storage  microSD card slot,2.44",2 MP,Black  Fuchsia Pink  Pure White  Teal Blue
BlackBerry Curve 9380,Released 2011  December,About 120 EUR,98g  11.2mm thickness,512MB storage  microSD card slot,3.2",5 MP,Black
BlackBerry Bold 9790,Released 2011  December,About 130 EUR,107g  11.4mm thickness,8GB storage  microSD card slot,2.45",5 MP  AF,Black  White
BlackBerry Porsche Design P'9981,Released 2011  December,About 800 EUR,155g  11.3mm thickness,8GB storage  microSD card slot,2.8",5 MP  AF,Gray  Black
BlackBerry Curve 9370,Released 2011  September,About 90 EUR,99g  11mm thickness,1GB storage  microSD card slot,2.44",5 MP,Black
BlackBerry Curve 9360,Released 2011  August,About 90 EUR,99g  11mm thickness,512MB storage  microSD card slot,2.44",5 MP,Black  Purple  Pink
BlackBerry Curve 9350,Released 2011  September,About 50 EUR,99g  11mm thickness,512MB ROM storage  microSD card slot,2.44",5 MP,Black  Violet
BlackBerry Torch 9810,Released 2011  August,About 120 EUR,161g  14.6mm thickness,8GB storage  microSD card slot,3.2",5 MP  AF,Black  Gray
BlackBerry Torch 9860,Released 2011  September,About 130 EUR,135g  11.5mm thickness,4GB storage  microSD card slot,3.7",5 MP  AF,Black
BlackBerry Torch 9850,Released 2011  August ,About 130 EUR,135g  11.5mm thickness,4GB storage  microSD card slot,3.7",5 MP  AF,Black
BlackBerry Bold Touch 9900,Released 2011  August,About 140 EUR,130g  10.5mm thickness,8GB storage  microSD card slot,2.8",5 MP,Black  White
BlackBerry Bold Touch 9930,Released 2011  August,About 120 EUR,130g  10.5mm thickness,8GB storage  microSD card slot,2.8",5 MP,Black
